date_time,power,windspeed,tem,hum,pressure,precipitation,wind_dir
2/1 0h,0,1.085844789,-10.08927002,83.87455057,990.751875,0.042239204,308.5937195
2/1 1h,0,1.626503144,-9.719396973,83.91278919,991.1428125,0.077073928,311.9583435
2/1 2h,0,1.868443602,-9.852789307,85.23242559,991.5760156,0.193526503,324.9665833
2/1 3h,0,1.905516535,-9.2331604,82.96442413,991.5172656,0.160206575,338.6096191
2/1 4h,0,1.818337129,-8.989111328,83.85794738,992.2221094,0.130588189,354.3278198
2/1 5h,0,1.804024581,-9.35993042,87.32269238,992.9617969,0.092051458,41.09011841
2/1 6h,0,1.378160904,-9.24262085,88.37751699,993.8373438,0.063779764,24.3163147
2/1 7h,0,1.335161818,-9.515997314,88.18303033,994.3119531,0.048129354,340.383606
2/1 8h,0.010757079,2.922414944,-8.835852051,85.58193633,995.5296094,0.0454369,326.2211914
2/1 9h,0.124526273,4.877397525,-6.980780029,75.29445618,996.1814844,0.053850934,323.3241882
2/1 10h,0.254269177,6.127344011,-6.766973877,73.04474028,996.6130469,0.071857125,326.2341614
2/1 11h,0.386214958,7.033233682,-6.78684082,72.44891428,996.7563281,0.087844208,328.1317444
2/1 12h,0.48983769,7.573108899,-6.438726807,71.01176389,997.2384375,0.071857125,327.4478455
2/1 13h,0.543151343,7.843816964,-6.761297607,71.70582548,998.22,0.048129354,325.5074463
2/1 14h,0.596365983,8.08723569,-7.254156494,68.43106249,998.9555469,0.027430244,325.5396118
2/1 15h,0.543030405,7.811564095,-9.24262085,66.03777814,1000.131719,0.00488013,326.5785522
2/1 16h,0.390315041,7.024730211,-9.522619629,63.64470509,1001.188672,0.000168104,326.6891479
2/1 17h,0.213554787,5.729186712,-12.09854736,65.39766425,1001.916719,0.000168104,330.6297607
2/1 18h,0.09875525,4.481339548,-12.64627686,69.30444729,1002.398828,0.000168104,336.1942749
2/1 19h,0.043907925,3.618725844,-14.20239868,74.28202454,1002.855234,0.000168104,334.0436401
2/1 20h,0.008235926,2.692533849,-11.9604248,66.35429057,1003.134375,0.000168104,281.4442749
2/1 21h,0.030940464,3.367130055,-14.25348511,77.99515596,1002.999375,0.000168104,254.1997375
2/1 22h,0.092614408,4.383251624,-15.58447876,81.20668252,1003.109531,0.000168104,245.5328369
2/1 23h,0.168725172,5.283486539,-15.04526367,80.31468504,1003.160078,0.000168104,241.7778625
2/2 0h,0.279754099,6.233427864,-14.73215332,80.06217945,1003.421797,0.000168104,251.3524628
2/2 1h,0.342398655,6.655131716,-14.38403931,75.23614347,1003.937813,0.000168104,265.6177368
2/2 2h,0.358647507,6.761862653,-14.63187256,68.08198317,1003.912969,0.000168104,278.7533264
2/2 3h,0.312128839,6.438655566,-16.08017578,63.89136885,1003.802813,0.000168104,286.5405884
2/2 4h,0.232221201,5.866486353,-16.32803955,61.18184293,1003.819375,0.000168104,285.5032349
2/2 5h,0.130463237,4.876512759,-17.30144348,62.05242339,1003.599922,0.000168104,281.5662842
2/2 6h,0.097035118,4.431392396,-17.3818573,64.61509517,1004.555781,0.000168104,265.3846436
2/2 7h,0.12815878,4.851423699,-16.16342773,62.2400473,1004.820859,0.000168104,260.3118286
2/2 8h,0.074086894,4.133446975,-15.58826294,56.24477418,1005.343516,0.000168104,267.0809021
2/2 9h,0.077195722,4.195405037,-10.49698486,44.35029882,1005.216719,0.000168104,268.0153809
2/2 10h,0.133440153,4.962639927,-10.1668457,42.69918122,1005.141406,0.000168104,262.5210571
2/2 11h,0.218419286,5.78904691,-9.773321533,41.8369945,1004.213672,0.000168104,264.9582825
2/2 12h,0.231812272,5.939627696,-7.321325684,32.61532429,1003.353047,0.000168104,269.9827881
2/2 13h,0.205497869,5.68771932,-7.218206787,32.16807755,1002.670547,0.000168104,275.1505737
2/2 14h,0.156771401,5.217753923,-7.173742676,31.51220312,1002.214922,0.000168104,279.1224365
2/2 15h,0.118485976,4.772759076,-8.714758301,34.19750511,1002.189297,0.000168104,279.8638916
2/2 16h,0.083742084,4.292785591,-9.307897949,34.89237446,1002.434453,0.000168104,274.9263306
2/2 17h,0.03903146,3.524739147,-14.01889648,46.575913,1002.838672,0.000168104,241.1017914
2/2 18h,0.044597691,3.632389483,-14.15888062,49.30319321,1002.687109,0.000168104,229.4824524
2/2 19h,0.057076696,3.872797744,-14.56189575,50.49828504,1002.569453,0.000168104,219.707016
2/2 20h,0.069832946,4.082791559,-14.78323975,53.65809534,1001.995469,0.000168104,208.2528839
2/2 21h,0.1102753,4.622067575,-15.41516724,57.00351728,1001.860391,0.000168104,200.729538
2/2 22h,0.18445914,5.428478106,-15.79923096,55.59203681,1001.692266,0.000168104,201.3298187
2/2 23h,0.233821305,5.891988812,-15.68759766,55.75204756,1001.481016,0.000168104,202.8514404
2/3 0h,0.212323632,5.685120165,-16.46707764,58.29728179,1001.211016,0.000168104,199.0519409
2/3 1h,0.226503341,5.818794932,-16.45480957,56.40803411,1000.688359,0.000168104,193.8391266
2/3 2h,0.297228018,6.341196853,-16.85874023,56.30424572,999.8617188,0.000168104,193.5122375
2/3 3h,0.351063352,6.698925683,-17.12549438,58.95733513,999.3978125,0.000168104,195.9388733
2/3 4h,0.368943447,6.825514917,-16.52194824,55.71766083,998.7575781,0.000168104,198.2726898
2/3 5h,0.277656043,6.224644168,-15.35083618,57.64134253,998.2257813,0.000168104,192.545166
2/3 6h,0.324555341,6.534313502,-15.90234985,57.3589733,998.6051563,0.000168104,193.2932587
2/3 7h,0.352468015,6.731069223,-14.90244141,56.9588192,998.4171094,0.000168104,195.9825287
2/3 8h,0.229713992,5.884066237,-12.86383667,49.88767687,998.3326563,0.000168104,203.508255
2/3 9h,0.282240522,6.311893889,-7.730932617,41.01671356,998.0791406,0.000168104,213.473465
2/3 10h,0.353588124,6.809992714,-7.354437256,40.63766305,997.7238281,0.000168104,222.3854675
2/3 11h,0.353071478,6.814127668,-6.85211792,40.41678519,996.4805469,0.000168104,230.1827087
2/3 12h,0.303150081,6.489632104,-4.18729248,33.00384025,995.7615625,0.000168104,236.8756714
2/3 13h,0.261587586,6.199048071,-4.156072998,33.64456864,995.0342969,0.000168104,244.382309
2/3 14h,0.222531326,5.894265653,-4.181616211,34.05612499,994.805625,0.000168104,251.6783752
2/3 15h,0.160822247,5.272597567,-6.368719482,41.54388845,995.2794531,0.000168104,259.9664001
2/3 16h,0.118858414,4.802122197,-6.667669678,42.32093996,995.2289063,0.000168104,273.3018188
2/3 17h,0.125044155,4.856536214,-11.3786377,56.31459823,995.7698438,0.000168104,284.6886597
2/3 18h,0.121544446,4.80658103,-11.70218506,57.34370977,995.778125,0.000168104,295.3965454
2/3 19h,0.128988442,4.905971888,-11.87528076,57.54850824,996.43,0.000168104,308.1050415
2/3 20h,0.121407654,4.799561366,-12.30097046,60.38949888,996.5815625,0.000168104,324.3847351
2/3 21h,0.070651162,4.100634241,-14.35281982,69.49025782,996.4971094,0.000168104,341.6516113
2/3 22h,0.004864675,2.406697011,-15.13797607,67.62751289,996.7082813,0.000168104,1.484619141
2/3 23h,0,1.194026381,-14.41431274,63.59352969,996.8524219,0.000168104,200.0718994
2/4 0h,0,1.349434751,-14.80499878,63.94853496,996.7339844,0.000168104,203.7272491
