date_time,power,windspeed,tem,hum,pressure,precipitation,wind_dir
2/1 0h,0.105112555,4.725235472,18.6553894,92.94912763,1010.694063,0.000846572,129.3634644
2/1 1h,0.081281405,4.367064867,18.58745728,93.58785517,1010.506875,0.000846572,134.8169708
2/1 2h,0.06376153,4.103955914,18.51516113,94.26323433,1010.09875,0.001552049,137.6545105
2/1 3h,0.044354841,3.728411512,18.14434204,95.35078986,1009.64875,0.003809109,135.0640869
2/1 4h,0.022835424,3.261689265,17.87981567,96.16949149,1009.809844,0.009029172,128.6422729
2/1 5h,0.002057659,2.191749368,18.35656128,95.67617669,1010.336719,0.005220063,111.7506638
2/1 6h,0,1.981429928,18.38210449,95.85431673,1011.102266,0.003809109,89.79967499
2/1 7h,0,1.944678893,18.69527588,95.54094697,1011.830781,0.004796777,81.5069046
2/1 8h,0,1.999865835,19.03896484,94.74542049,1012.346797,0.006630551,98.84970093
2/1 9h,0.00134565,2.126042814,20.5446106,88.70246457,1012.710156,0.006630551,106.3270645
2/1 10h,0.005082197,2.476686385,20.95437012,85.07954519,1012.735547,0.005784445,103.6484756
2/1 11h,0.006283717,2.590254135,21.2373291,84.37691474,1012.219609,0.001975335,76.70604706
2/1 12h,0.033399767,3.499562789,21.95836792,80.66317554,1011.027109,0.000987668,66.38367462
2/1 13h,0.095153707,4.592794983,22.00231323,80.49109126,1010.147188,0.011427328,69.20105743
2/1 14h,0.201037394,5.843094159,21.88231812,81.74681371,1009.385938,0.01608301,66.60992432
2/1 15h,0.437921337,7.511226226,21.32332764,84.94393457,1008.937734,0.032166019,63.83332062
2/1 16h,0.643318844,8.521969652,20.93599854,87.27120665,1009.76625,0.021726359,66.90860748
2/1 17h,0.674082028,8.655759771,20.7206665,89.62561671,1009.783203,0.036821701,74.40323639
2/1 18h,0.735777978,8.926080879,20.68111572,90.02814423,1010.350078,0.004796777,86.19477844
2/1 19h,0.695411653,8.746754932,20.62346802,91.21378318,1010.511172,0.000987668,95.56533051
2/1 20h,0.552743701,8.114620134,20.52062378,92.67845184,1011.162188,0.000141095,104.2258682
2/1 21h,0.418886079,7.388483111,20.22615967,94.57927892,1011.475313,0.000141095,112.0011673
2/1 22h,0.313826511,6.726205871,20.15731201,95.23504036,1011.805313,0.000141095,113.3289642
2/1 23h,0.251069425,6.252339251,20.10527954,95.2810055,1011.855625,0.000141095,110.1269531
2/2 0h,0.194422749,5.752880315,19.87001953,95.81037508,1012.126328,0.000141095,103.973587
2/2 1h,0.171747184,5.513591352,19.784021,96.2182134,1011.864063,0.000141095,98.42973328
2/2 2h,0.171919285,5.51446767,19.62758789,96.59744662,1011.847109,0.004796777,93.70880127
